Count:  3104
Date:  2013-01-25 00:00:00 | Average Speed:  18.76 | Number of Taxis:  2
Date:  2013-01-26 00:00:00 | Average Speed:  18.3 | Number of Taxis:  6
Date:  2013-01-27 00:00:00 | Average Speed:  15.64 | Number of Taxis:  18
Date:  2013-01-28 00:00:00 | Average Speed:  18.95 | Number of Taxis:  6
Date:  2013-01-29 00:00:00 | Average Speed:  10.17 | Number of Taxis:  14
Date:  2013-01-30 00:00:00 | Average Speed:  12.08 | Number of Taxis:  6
Date:  2013-01-31 00:00:00 | Average Speed:  14.72 | Number of Taxis:  6
Date:  2013-01-01 00:00:00 | Average Speed:  16.14 | Number of Taxis:  23
Date:  2013-01-02 00:00:00 | Average Speed:  11.02 | Number of Taxis:  15
Date:  2013-01-03 00:00:00 | Average Speed:  13.33 | Number of Taxis:  23
Date:  2013-01-04 00:00:00 | Average Speed:  12.43 | Number of Taxis:  6
Date:  2013-01-05 00:00:00 | Average Speed:  14.29 | Number of Taxis:  17
Date:  2013-01-06 00:00:00 | Average Speed:  14.91 | Number of Taxis:  15
Date:  2013-01-07 00:00:00 | Average Speed:  11.73 | Number of Taxis:  6
Date:  2013-01-08 00:00:00 | Average Speed:  14.59 | Number of Taxis:  10
Date:  2013-01-09 00:00:00 | Average Speed:  11.48 | Number of Taxis:  18
Date:  2013-01-10 00:00:00 | Average Speed:  12.44 | Number of Taxis:  11
Date:  2013-01-11 00:00:00 | Average Speed:  13.94 | Number of Taxis:  15
Date:  2013-01-12 00:00:00 | Average Speed:  14.91 | Number of Taxis:  17
Date:  2013-01-13 00:00:00 | Average Speed:  12.8 | Number of Taxis:  12
Date:  2013-01-14 00:00:00 | Average Speed:  14.88 | Number of Taxis:  21
Date:  2013-01-15 00:00:00 | Average Speed:  15.34 | Number of Taxis:  10
Date:  2013-01-16 00:00:00 | Average Speed:  14.76 | Number of Taxis:  9
Date:  2013-01-17 00:00:00 | Average Speed:  12.07 | Number of Taxis:  11
Date:  2013-01-18 00:00:00 | Average Speed:  12.84 | Number of Taxis:  18
Date:  2013-01-19 00:00:00 | Average Speed:  13.42 | Number of Taxis:  19
Date:  2013-01-20 00:00:00 | Average Speed:  13.92 | Number of Taxis:  14
Date:  2013-01-21 00:00:00 | Average Speed:  14.77 | Number of Taxis:  12
Date:  2013-01-22 00:00:00 | Average Speed:  16.63 | Number of Taxis:  12
Date:  2013-01-23 00:00:00 | Average Speed:  11.74 | Number of Taxis:  19
Date:  2013-01-24 00:00:00 | Average Speed:  11.4 | Number of Taxis:  44
Date:  2013-01-25 00:00:00 | Average Speed:  11.66 | Number of Taxis:  10
Date:  2013-01-26 00:00:00 | Average Speed:  16.29 | Number of Taxis:  11
Date:  2013-01-27 00:00:00 | Average Speed:  15.48 | Number of Taxis:  25
Date:  2013-01-28 00:00:00 | Average Speed:  16.83 | Number of Taxis:  12
Date:  2013-01-29 00:00:00 | Average Speed:  9.47 | Number of Taxis:  18
Date:  2013-01-30 00:00:00 | Average Speed:  11.27 | Number of Taxis:  9
Date:  2013-01-31 00:00:00 | Average Speed:  13.42 | Number of Taxis:  11
Date:  2013-01-01 00:00:00 | Average Speed:  14.11 | Number of Taxis:  110
Date:  2013-01-02 00:00:00 | Average Speed:  11.8 | Number of Taxis:  77
Date:  2013-01-03 00:00:00 | Average Speed:  12.62 | Number of Taxis:  74
Date:  2013-01-04 00:00:00 | Average Speed:  12.34 | Number of Taxis:  60
Date:  2013-01-05 00:00:00 | Average Speed:  13.49 | Number of Taxis:  72
Date:  2013-01-06 00:00:00 | Average Speed:  14.75 | Number of Taxis:  75
Date:  2013-01-07 00:00:00 | Average Speed:  12.3 | Number of Taxis:  68
Date:  2013-01-08 00:00:00 | Average Speed:  13.23 | Number of Taxis:  75
Date:  2013-01-09 00:00:00 | Average Speed:  13.02 | Number of Taxis:  77
Date:  2013-01-10 00:00:00 | Average Speed:  11.81 | Number of Taxis:  75
Date:  2013-01-11 00:00:00 | Average Speed:  13.09 | Number of Taxis:  72
Date:  2013-01-12 00:00:00 | Average Speed:  13.01 | Number of Taxis:  70
Date:  2013-01-13 00:00:00 | Average Speed:  13.83 | Number of Taxis:  73
Date:  2013-01-14 00:00:00 | Average Speed:  14.58 | Number of Taxis:  86
